video,type,n_paires,mean_velocity_mean,max_velocity_mean,direction_mean,spatial_correlation_mean,vorticity_mean,divergence_mean,elongation_mean,dispersion_angle_mean,expansion_rate_mean,mean_velocity_std,max_velocity_std,direction_std,spatial_correlation_std,vorticity_std,divergence_std,elongation_std,dispersion_angle_std,expansion_rate_std
Simu_61.MP4,simulation,71,24.7898,62.8783,194.2883,0.1741,1.9939,1.8359,1.5981,47.5486,0.4027,11.4889,27.4785,101.209,0.2069,1.7549,1.6419,0.5083,25.8477,1.2485
Simu_62.MP4,simulation,78,25.3711,63.3314,178.576,0.1961,2.015,1.6402,1.6637,47.6501,0.4422,10.7431,25.3095,97.1667,0.2145,1.8558,1.383,0.5885,25.909,1.2181
Simu_63.MP4,simulation,73,23.1661,57.4012,194.8109,0.237,1.3726,2.1339,1.6488,46.6863,0.4554,13.0208,31.9028,112.5504,0.3036,1.6037,2.1504,0.5887,28.4814,1.5212
Simu_64.MP4,simulation,77,25.8707,65.1498,171.0972,0.1936,2.2063,1.8302,1.7018,48.5768,0.4553,10.3373,24.8162,90.9707,0.2179,1.9192,1.8377,0.5093,27.7583,1.4325
Simu_65.MP4,simulation,84,23.2372,59.8579,186.9572,0.161,1.4794,1.5347,1.5872,44.039,0.5825,12.0972,29.642,108.234,0.1501,1.4224,1.5667,0.4665,28.9816,1.684
Simu_66.MP4,simulation,72,24.5759,63.0235,206.8882,0.2191,1.7518,1.6598,1.7039,50.6148,0.3817,10.9121,27.1224,96.1923,0.2613,1.6197,1.7167,0.5959,25.1729,1.3496
Simu_67.MP4,simulation,59,25.9296,64.0757,170.3741,0.1801,1.7786,2.0013,1.5671,51.285,0.5153,10.8144,24.96,95.315,0.1986,1.4749,1.9307,0.4593,28.1819,1.4293
Simu_68.MP4,simulation,82,23.1173,60.4733,177.2689,0.2014,1.5178,1.6389,1.7337,48.437,0.3722,11.9755,28.7598,105.4019,0.2155,1.5546,1.6448,0.4574,25.8664,1.2526
Simu_69.MP4,simulation,68,25.3728,66.7125,185.8064,0.2027,2.0527,1.8782,1.7995,37.7875,0.3411,9.8173,24.9285,96.9546,0.232,1.692,1.7117,0.5768,29.9395,1.216
Simu_70.MP4,simulation,62,24.997,64.3483,199.8546,0.2259,1.8761,1.6065,1.7903,41.6417,0.3905,10.3265,25.461,105.2588,0.2793,1.6866,1.4981,0.7286,27.9916,1.2989
Simu_71.MP4,simulation,66,23.8276,59.4037,182.5104,0.2144,1.6456,2.0284,1.6115,37.8283,0.314,11.859,28.4261,99.6238,0.2555,1.6063,1.9424,0.5069,26.9917,1.0643
Simu_72.MP4,simulation,67,23.0459,59.9569,178.6823,0.2631,1.4715,1.7829,1.7634,39.2164,0.3593,11.7844,29.7219,98.5798,0.2969,1.5854,1.5548,0.552,28.1052,1.1905
Simu_73.MP4,simulation,65,25.3477,66.4351,176.3377,0.2074,1.5746,1.9815,1.6178,41.7516,0.2676,10.1293,25.4934,88.0693,0.2751,1.4851,1.8401,0.3641,28.8043,0.9051
Simu_74.MP4,simulation,78,24.4028,63.4611,196.7226,0.2161,1.5315,1.7867,1.7317,38.822,0.4047,10.4809,25.6242,97.6151,0.2497,1.5022,1.5338,0.6152,31.0756,1.3022
Simu_75.MP4,simulation,66,23.9388,61.3377,190.5425,0.2152,1.743,1.4991,1.7277,43.9117,0.4179,11.5661,26.1676,93.9247,0.2469,1.7285,1.3673,0.5434,28.0463,1.3183
Simu_76.MP4,simulation,61,26.8659,66.8111,191.9087,0.178,1.8265,2.0875,1.8047,44.3883,0.4183,10.0826,24.1535,93.2979,0.2097,1.3445,1.5738,0.7105,27.4672,1.4682
Simu_77.MP4,simulation,66,24.2022,62.0737,186.6842,0.2222,1.755,1.7713,1.7789,37.5069,0.6155,10.6781,25.9995,106.6536,0.2577,1.7557,1.4973,0.5292,29.6613,1.9425
Simu_78.MP4,simulation,77,21.5151,56.5403,195.9307,0.2604,1.6319,1.7048,1.7983,37.524,0.3248,12.9016,32.681,106.4931,0.2932,1.588,1.7439,0.6283,27.8568,1.1813
Simu_79.MP4,simulation,70,24.7115,64.4659,183.352,0.2356,1.707,1.5845,1.6535,47.2978,0.4193,10.7653,25.4169,102.8829,0.2412,1.659,1.4744,0.4902,27.3451,1.391
